fed;slot;oh;vfat;channel
1467;1;5;7;2
1467;1;5;9;0
1467;1;5;9;2
1467;1;5;10;0
1467;1;5;10;2
1467;1;5;12;126
1467;1;5;13;0
1467;1;5;13;1
1467;1;5;13;2
1467;1;5;15;0
1467;1;5;15;2
1467;1;5;17;2
1467;1;5;17;3
1467;1;5;18;118
1467;1;5;18;126
1467;1;5;18;127
1467;1;5;19;126
1467;1;5;20;0
1467;1;5;20;2
1467;1;5;21;125
1467;1;5;21;126
1467;1;5;22;0
1467;1;5;22;2
1467;1;5;23;126
1467;1;6;2;2
1467;1;6;3;2
1467;1;6;4;0
1467;1;6;4;2
1467;1;6;4;3
1467;1;6;9;0
1467;1;6;9;2
1467;1;6;12;2
1467;1;6;13;0
1467;1;6;13;2
1467;1;6;14;57
1467;1;6;14;60
1467;1;6;14;72
1467;1;6;16;48
1467;1;6;18;126
1467;1;6;19;126
1467;1;6;20;127
1467;1;7;1;126
1467;1;7;2;2
1467;1;7;3;0
1467;1;7;3;2
1467;1;7;4;0
1467;1;7;4;2
1467;1;7;5;0
1467;1;7;5;2
1467;1;7;8;2
1467;1;7;9;2
1467;1;7;12;2
1467;1;7;13;0
1467;1;7;15;2
1467;1;7;18;126
1467;1;7;18;127
1467;1;7;19;126
1467;1;7;20;126
1467;1;7;21;126
1467;1;7;23;10
1467;1;7;23;11
1467;1;7;23;126
1467;1;8;0;126
1467;1;8;1;126
1467;1;8;1;127
1467;1;8;2;2
1467;1;8;4;126
1467;1;8;5;0
1467;1;8;5;2
1467;1;8;6;126
1467;1;8;7;2
1467;1;8;8;0
1467;1;8;9;0
1467;1;8;9;2
1467;1;8;10;2
1467;1;8;12;98
1467;1;8;13;0
1467;1;8;13;1
1467;1;8;13;2
1467;1;8;15;0
1467;1;8;15;2
1467;1;8;17;2
1467;1;8;18;126
1467;1;8;20;2
1467;1;8;21;125
1467;1;8;21;127
1467;1;8;22;0
1467;1;8;22;1
1467;1;8;22;2
1467;1;8;22;4
1467;1;8;22;5
1467;1;8;22;8
1467;1;8;22;9
1467;1;8;22;12
1467;1;8;22;13
1467;1;8;23;126
1467;1;9;0;126
1467;1;9;0;127
1467;1;9;1;125
1467;1;9;1;126
1467;1;9;1;127
1467;1;9;2;0
1467;1;9;2;2
1467;1;9;2;3
1467;1;9;3;2
1467;1;9;3;3
1467;1;9;4;125
1467;1;9;4;126
1467;1;9;4;127
1467;1;9;5;0
1467;1;9;5;2
1467;1;9;5;3
1467;1;9;6;125
1467;1;9;6;126
1467;1;9;6;127
1467;1;9;7;0
1467;1;9;7;2
1467;1;9;8;0
1467;1;9;8;2
1467;1;9;9;0
1467;1;9;9;2
1467;1;9;10;0
1467;1;9;10;2
1467;1;9;11;0
1467;1;9;11;54
1467;1;9;13;0
1467;1;9;13;2
1467;1;9;14;125
1467;1;9;14;126
1467;1;9;15;0
1467;1;9;15;2
1467;1;9;16;2
1467;1;9;17;0
1467;1;9;17;2
1467;1;9;17;3
1467;1;9;18;125
1467;1;9;18;126
1467;1;9;18;127
1467;1;9;19;126
1467;1;9;20;0
1467;1;9;20;2
1467;1;9;20;3
1467;1;9;21;125
1467;1;9;21;126
1467;1;9;22;0
1467;1;9;22;2
1467;1;9;22;3
1467;1;9;23;72
1467;1;9;23;77
1467;1;9;23;125
1467;1;9;23;126
1467;1;9;23;127
1467;1;10;2;2
1467;1;10;4;0
1467;1;10;4;2
1467;1;10;5;2
1467;1;10;7;36
1467;1;10;8;0
1467;1;10;8;2
1467;1;10;10;2
1467;1;10;11;2
1467;1;10;12;2
1467;1;10;13;0
1467;1;10;19;126
1467;1;10;20;126
1467;1;10;22;68
1467;1;11;2;2
1467;1;11;3;2
1467;1;11;4;0
1467;1;11;5;2
1467;1;11;10;2
1467;1;11;13;0
1467;1;11;18;107
1467;1;11;18;114
1467;1;11;18;118
1467;1;11;18;119
1467;1;11;18;122
1467;1;11;18;126
1467;1;11;18;127
1467;1;11;19;126
1467;1;11;19;127
1467;1;11;20;93
1467;1;11;20;96
1467;1;11;20;125
1467;1;11;20;126
1468;1;0;0;126
1468;1;0;1;126
1468;1;0;2;0
1468;1;0;2;2
1468;1;0;3;2
1468;1;0;4;125
1468;1;0;4;126
1468;1;0;4;127
1468;1;0;5;0
1468;1;0;5;2
1468;1;0;6;126
1468;1;0;8;0
1468;1;0;8;2
1468;1;0;9;0
1468;1;0;9;2
1468;1;0;10;0
1468;1;0;10;2
1468;1;0;12;47
1468;1;0;12;50
1468;1;0;12;62
1468;1;0;12;63
1468;1;0;13;0
1468;1;0;13;2
1468;1;0;13;3
1468;1;0;15;0
1468;1;0;15;1
1468;1;0;15;2
1468;1;0;17;2
1468;1;0;18;126
1468;1;0;19;126
1468;1;0;20;0
1468;1;0;20;2
1468;1;0;21;125
1468;1;0;21;126
1468;1;0;21;127
1468;1;0;22;0
1468;1;0;22;2
1468;1;0;23;126
1468;1;1;0;125
1468;1;1;0;126
1468;1;1;0;127
1468;1;1;1;125
1468;1;1;1;126
1468;1;1;1;127
1468;1;1;2;0
1468;1;1;2;2
1468;1;1;2;3
1468;1;1;2;6
1468;1;1;3;0
1468;1;1;3;2
1468;1;1;4;122
1468;1;1;4;125
1468;1;1;4;126
1468;1;1;4;127
1468;1;1;5;0
1468;1;1;5;2
1468;1;1;5;3
1468;1;1;6;122
1468;1;1;6;125
1468;1;1;6;126
1468;1;1;6;127
1468;1;1;7;0
1468;1;1;7;2
1468;1;1;7;3
1468;1;1;8;0
1468;1;1;8;2
1468;1;1;8;3
1468;1;1;8;4
1468;1;1;9;0
1468;1;1;9;2
1468;1;1;10;0
1468;1;1;10;2
1468;1;1;11;0
1468;1;1;11;2
1468;1;1;11;3
1468;1;1;11;31
1468;1;1;11;34
1468;1;1;12;125
1468;1;1;12;126
1468;1;1;13;0
1468;1;1;13;1
1468;1;1;13;2
1468;1;1;13;3
1468;1;1;14;125
1468;1;1;14;126
1468;1;1;15;0
1468;1;1;15;1
1468;1;1;15;2
1468;1;1;16;0
1468;1;1;16;2
1468;1;1;16;3
1468;1;1;17;0
1468;1;1;17;2
1468;1;1;17;3
1468;1;1;18;122
1468;1;1;18;125
1468;1;1;18;126
1468;1;1;18;127
1468;1;1;19;126
1468;1;1;19;127
1468;1;1;20;0
1468;1;1;20;1
1468;1;1;20;7
1468;1;1;21;125
1468;1;1;21;126
1468;1;1;21;127
1468;1;1;22;0
1468;1;1;22;2
1468;1;1;22;3
1468;1;1;23;106
1468;1;1;23;115
1468;1;1;23;125
1468;1;1;23;126
1468;1;2;2;2
1468;1;2;3;2
1468;1;2;4;0
1468;1;2;4;2
1468;1;2;5;2
